job_id,user,num_gpu,submit_time,iterations,model_name,duration,interval,expect_time_list,expect_value_list,best_effort,job_type
0,vc_6214e9,1,8555,5049,vgg16,747,14,1105,10,0,strict
1,vc_ed69ec,1,832,296,mobilenet_v2,98,8,128,10,0,strict
2,vc_ee9e8c,1,14341,3621,alexnet,30,17,14341,10,1,best
3,vc_6214e9,1,16962,5458,inception_v3,158,5,318,10,0,strict
4,vc_7f04ca,1,13553,6315,inception_v3,26,20,67,10,0,strict
5,vc_6214e9,1,11521,7266,vgg16,30,6,59,10,0,strict
6,vc_7f04ca,1,13874,6148,inception_v3,393,21,13874,10,1,best
7,vc_0e4a51,1,6915,8952,alexnet,157,14,285,10,0,strict
8,vc_2869ce,1,3262,7681,vgg16,271,6,458,10,0,strict
9,vc_103959,1,16967,8602,mobilenet_v2,163,8,313,10,0,strict
10,vc_6c71a0,1,276,4176,inception_v3,89,15,276,10,1,best
11,vc_0e4a51,8,9176,7309,resnet101,122,12,9176,10,1,best
12,vc_e13805,4,1256,5274,resnet101,102,22,1256,10,1,best
13,vc_e13805,1,14418,2337,mobilenet_v2,30,7,42,10,0,strict
14,vc_11cb48,1,3876,4586,vgg16,77,25,204,10,0,strict
15,vc_11cb48,1,3885,5106,alexnet,68,9,135,10,0,strict
16,vc_103959,4,18350,6280,mobilenet_v2,1601,16,3070,10,0,strict
17,vc_2869ce,1,3290,838,resnet101,35,12,3290,10,1,best
18,vc_2869ce,1,3287,1301,alexnet,35,17,73,10,0,strict
19,vc_103959,1,12309,6012,alexnet,31,18,111,10,0,strict
20,vc_ee9e8c,1,16966,3355,inception_v3,148,15,194,10,0,strict
21,vc_ee9e8c,1,1331,5414,mobilenet_v2,41,23,1331,10,1,best
22,vc_0e4a51,1,6901,7858,mobilenet_v2,156,16,299,10,0,strict
23,vc_6214e9,1,14341,6395,mobilenet_v2,23,13,59,10,0,strict
24,vc_ed69ec,1,13680,5912,vgg16,325,18,13680,10,1,best
25,vc_6c71a0,1,17839,7875,alexnet,20,25,41,10,0,strict
26,vc_7f04ca,1,14290,2597,vgg16,21,14,14290,10,1,best
27,vc_7f04ca,1,5709,7530,alexnet,178,16,351,10,0,strict
28,vc_ee9e8c,1,77,176,alexnet,85,22,163,10,0,strict
29,vc_e13805,1,1030,9213,alexnet,59,15,110,10,0,strict
30,vc_11cb48,1,829,6544,alexnet,57,15,829,10,1,best
31,vc_7f04ca,1,2,2673,alexnet,82,5,2,10,1,best
32,vc_7f04ca,1,19164,8131,vgg16,76,22,19164,10,1,best
33,vc_103959,1,2356,6727,vgg16,258,12,2356,10,1,best
34,vc_7f04ca,1,19648,382,mobilenet_v2,378,11,572,10,0,strict
35,vc_7f04ca,1,13556,2206,inception_v3,22,5,64,10,0,strict
36,vc_ed69ec,1,14122,9600,vgg16,32,23,14122,10,1,best
37,vc_ed69ec,1,1163,9904,vgg16,21,5,1163,10,1,best
38,vc_6c71a0,1,18962,6009,alexnet,29,5,18962,10,1,best
39,vc_ed69ec,1,1415,4594,mobilenet_v2,39,22,85,10,0,strict
40,vc_11cb48,1,1404,4974,inception_v3,41,5,96,10,0,strict
41,vc_0e4a51,1,2357,4534,alexnet,219,5,283,10,0,strict
42,vc_6c71a0,1,13552,9257,alexnet,27,10,68,10,0,strict
43,vc_e13805,1,306,3938,resnet101,247,7,294,10,0,strict
44,vc_2869ce,4,10063,5119,inception_v3,3793,9,4997,10,0,strict
45,vc_7f04ca,1,14423,3904,resnet101,26,21,97,10,0,strict
46,vc_e13805,1,8238,3580,mobilenet_v2,142,5,8238,10,1,best
47,vc_7f04ca,1,14339,7245,resnet101,27,25,61,10,0,strict
48,vc_ed69ec,1,1455,8672,alexnet,40,23,105,10,0,strict
49,vc_7f04ca,1,2348,3313,inception_v3,345,5,652,10,0,strict
50,vc_6c71a0,8,19435,9729,mobilenet_v2,74,23,19435,10,1,best
51,vc_e13805,1,18776,7271,inception_v3,21,8,64,10,0,strict
52,vc_b436b2,1,11111,9536,resnet101,31,22,109,10,0,strict
53,vc_ee9e8c,1,12078,1633,mobilenet_v2,21,5,42,10,0,strict
54,vc_0e4a51,1,13555,3711,alexnet,25,24,13555,10,1,best
55,vc_e13805,1,3861,4253,vgg16,1274,5,3861,10,1,best
56,vc_0e4a51,1,13915,5309,mobilenet_v2,30,6,65,10,0,strict
57,vc_b436b2,1,11494,2861,resnet101,37,5,11494,10,1,best
58,vc_2869ce,4,10903,6411,inception_v3,24,6,77,10,0,strict
59,vc_11cb48,1,1364,5005,resnet101,100,10,196,10,0,strict
60,vc_2869ce,1,1469,741,inception_v3,40,5,91,10,0,strict
61,vc_103959,1,1047,242,inception_v3,97,5,153,10,0,strict
62,vc_e13805,1,18959,7988,resnet101,39,7,61,10,0,strict
63,vc_11cb48,1,1476,4696,resnet101,67,19,1476,10,1,best
64,vc_7f04ca,1,1350,4924,resnet101,67,5,150,10,0,strict
65,vc_6c71a0,1,11528,3002,alexnet,21,7,52,10,0,strict
66,vc_7f04ca,1,5447,689,vgg16,905,6,5447,10,1,best
67,vc_0e4a51,1,14410,972,inception_v3,35,12,50,10,0,strict
68,vc_2869ce,1,11464,3886,inception_v3,137,23,296,10,0,strict
69,vc_ed69ec,1,16688,2996,alexnet,1899,5,2992,10,0,strict
70,vc_103959,4,13274,8128,vgg16,2443,5,4786,10,0,strict
71,vc_103959,1,13203,6766,vgg16,408,5,13203,10,1,best
72,vc_e13805,8,19895,4373,alexnet,1734,17,1945,10,0,strict
73,vc_103959,1,11053,8375,resnet101,27,24,11053,10,1,best
74,vc_6c71a0,1,3318,4300,vgg16,35,23,102,10,0,strict
75,vc_2869ce,8,881,9319,alexnet,95,5,881,10,1,best
76,vc_b436b2,1,841,8636,resnet101,57,5,119,10,0,strict
77,vc_ed69ec,1,5706,1516,inception_v3,44,12,5706,10,1,best
78,vc_7f04ca,1,8191,3702,vgg16,1522,8,3029,10,0,strict
79,vc_ed69ec,1,12134,1418,mobilenet_v2,28,22,12134,10,1,best
80,vc_e13805,1,2350,4513,mobilenet_v2,215,8,410,10,0,strict
81,vc_103959,1,1382,9652,vgg16,39,5,58,10,0,strict
82,vc_11cb48,1,16201,837,vgg16,202,5,299,10,0,strict
83,vc_ed69ec,1,987,3299,resnet101,92,5,153,10,0,strict
84,vc_103959,2,6933,8947,alexnet,2305,5,2907,10,0,strict
85,vc_0e4a51,1,11564,1162,resnet101,36,5,76,10,0,strict
86,vc_ee9e8c,1,3237,426,mobilenet_v2,67,5,3237,10,1,best
87,vc_ee9e8c,1,11633,2843,resnet101,40,16,11633,10,1,best
88,vc_e13805,1,1340,5877,resnet101,41,5,100,10,0,strict
89,vc_e13805,1,3747,2925,mobilenet_v2,92,7,153,10,0,strict
90,vc_b436b2,1,17160,936,mobilenet_v2,22,11,60,10,0,strict
91,vc_e13805,1,11493,8600,mobilenet_v2,26,10,87,10,0,strict
92,vc_103959,1,14334,4394,mobilenet_v2,34,8,126,10,0,strict
93,vc_103959,1,3537,5652,mobilenet_v2,1246,21,3537,10,1,best
94,vc_ee9e8c,1,3279,8305,mobilenet_v2,35,24,3279,10,1,best
95,vc_e13805,1,19081,5757,mobilenet_v2,437,8,19081,10,1,best
96,vc_b436b2,1,16024,2530,inception_v3,374,8,716,10,0,strict
97,vc_b436b2,1,3270,895,inception_v3,33,10,90,10,0,strict
98,vc_ee9e8c,1,17459,3309,alexnet,21,8,61,10,0,strict
99,vc_6c71a0,1,13201,7742,alexnet,398,7,599,10,0,strict
100,vc_7f04ca,1,13872,2697,alexnet,339,13,648,10,0,strict
101,vc_0e4a51,1,843,6718,inception_v3,59,5,843,10,1,best
102,vc_0e4a51,1,12497,6559,alexnet,38,8,103,10,0,strict
103,vc_6214e9,1,14122,6058,mobilenet_v2,32,23,14122,10,1,best
104,vc_2869ce,1,14418,7891,resnet101,30,17,14418,10,1,best
105,vc_2869ce,1,11631,3809,alexnet,30,17,69,10,0,strict
106,vc_2869ce,4,17417,3954,resnet101,38,22,103,10,0,strict
107,vc_e13805,1,986,9040,vgg16,60,5,154,10,0,strict
108,vc_11cb48,1,832,5097,alexnet,99,21,832,10,1,best
109,vc_e13805,1,338,9501,mobilenet_v2,179,14,262,10,0,strict
110,vc_6c71a0,1,18961,8324,mobilenet_v2,29,15,59,10,0,strict
